FIPS,TFPYRM1999,TFPYRM2000,TFPYRM2001,TFPYRM2002,TFPYRM2003,TFPYRM2004,TFPYRM2005,TFPYRM2006,TFPYRM2007,TFPYRM2008,TFPYRM2009,TFPYRM2010,statename,stfips
01095,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01097,154.72803,160.52606,167.90195,164.84372,167.81947,169.36385,171.58078,180.86066,192.0166,202.91586,204.75861,207.26572,Alabama,01
01099,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01101,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01103,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01105,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01107,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,Alabama,01
01109,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01111,154.74593,159.76266,164.69034,163.46727,166.51817,166.67767,169.11116,178.56262,185.37369,198.36096,199.78276,203.30945,,01
01113,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01115,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01117,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01119,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01121,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01123,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01125,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01127,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01129,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01131,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01133,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
04001,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,,04
04003,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04005,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04007,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04009,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04011,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,,04
04012,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,,04
04013,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04015,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04017,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04019,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04021,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04023,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04025,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04027,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
05001,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05003,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,,05
05005,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,Arkansas,05
05007,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,Arkansas,05
05009,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,Arkansas,05
05011,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05013,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05015,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,,05
05017,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05019,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05021,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,05
05023,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05025,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05027,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,Arkansas,05
05029,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05031,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05033,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05035,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05037,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,05
05039,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
